,Model,RAM,Screen,Operating System,Storage,Type Storage,Speed,Price
112,Apple M1 Max chip,32GB  ,16.2 Inches,Mac OS,2TB SSD,SSD,NA,"929,999 - PKR"
113,Intel Core i5-1135G7 ,8GB ,15.6INCHES,Windows 10,256GB,SSD,up to 4.2 GHz,"124,999 - PKR"
114,Intel Core i9-11900H Processor,16GB  ,16 inches ,Windows 10,1TB ,SSD,2.5 GHz  up to 4.9 GHz,"449,999 - PKR"
115,Core i7 11th Generation Intel -11800H,16GB  ,15.6INCHES,Windows 10,512GB,SSD,2.3 GHz Turbo Boost up to 4.6 GHz,"349,999 - PKR"
116,Core i7 11th Generation   i7-1195G7,8GB ,13.3 Inch,Windows 11,512GB,SSD,up to 5.0 GHz ,"197,999 - PKR"
117,AMD Ryzen 5,8GB ,13.3 Inch,Windows 11 Home ,256GB SSD,SSD,NA,"171,999 - PKR"
118,Core i5 11th Generation ,8GB,15.6INCHES,Windows 10,512GB SSD,SSD,NA,"167,999 - PKR"
119,Core i7 11th Generation ,8GB,15.6INCHES,Windows 10,512GB SSD,SSD,NA,"180,999 - PKR"
120,Core i5 11th Generation ,8GB,15.6INCHES,Windows 10,256GB SSD,SSD,NA,"151,999 - PKR"
121,Core i3 11th Generation,4GB,15.6INCHES,DOS,1TB SSD,SSD,NA,"98,000 - PKR"
122,Core i5 11th Generation,8GB,15.6INCHES,DOS,512GB SSD,SSD,NA,"154,999 - PKR"
123,Core i7 11th Generation,8GB,15.6INCHES,Windows 10 Home,512GB  SSD,SSD,NA,"184,999 - PKR"
124,Core i5 11th Generation,8GB,15.6INCHES,Windows 10 Home,1TB HDD, HDD,NA,"118,999 - PKR"
125,Apple M1 Pro chip,16GB  ,14.2 Inches,Mac OS,1TB SSD,SSD,NA,"534,999 - PKR"
126,Apple M1 Pro chip,16GB  ,?14.2 Inches,Mac OS,1TB SSD,SSD,NA,"534,999 - PKR"
127,Core i7 11th Generation  i7-1165G7,16GB  ,13.3 Inch,Windows 10 Home,512GB SSD,SSD,NA,"249,999 - PKR"
128,Core i5 11th Generation,8 GB,15.6,Windows 10,512GB SSD,SSD,NA,"171,999 - PKR"
129,Apple M1 Max chip,64GB  ,14.2 Inches,Mac OS,2TB SSD,SSD,NA,"879,999 - PKR"
